iter	Passed	Remaining
432	1196	1566
433	1197	1562
434	1199	1557
435	1200	1552
436	1201	1547
437	1202	1543
438	1203	1538
439	1204	1533
440	1206	1528
441	1207	1524
442	1208	1519
443	1209	1515
444	1211	1510
445	1212	1505
446	1213	1500
447	1214	1496
448	1215	1491
449	1216	1487
450	1217	1482
451	1218	1477
452	1220	1473
453	1221	1468
454	1222	1464
455	1223	1460
456	1225	1455
457	1226	1451
458	1227	1447
459	1228	1442
460	1229	1438
461	1231	1433
462	1232	1429
463	1233	1424
464	1234	1420
465	1235	1415
466	1236	1411
467	1238	1407
468	1239	1403
469	1240	1399
470	1241	1394
471	1242	1390
472	1244	1386
473	1245	1381
474	1246	1377
475	1247	1372
476	1248	1368
477	1249	1364
478	1250	1360
479	1251	1356
480	1253	1352
481	1254	1348
482	1255	1344
483	1256	1339
484	1257	1335
485	1259	1331
486	1260	1327
487	1261	1323
488	1262	1319
489	1263	1314
490	1264	1310
491	1265	1307
492	1267	1303
493	1268	1299
494	1269	1295
495	1270	1290
496	1271	1287
497	1272	1282
498	1273	1278
499	1274	1274
500	1275	1270
501	1277	1266
502	1278	1262
503	1279	1258
504	1280	1255
505	1281	1251
506	1282	1247
507	1283	1243
508	1284	1239
509	1285	1235
510	1287	1231
511	1288	1227
512	1289	1224
513	1290	1220
514	1291	1216
515	1292	1212
516	1293	1208
517	1295	1205
518	1296	1201
519	1297	1197
520	1298	1193
521	1299	1190
522	1300	1186
523	1301	1182
524	1302	1178
525	1304	1175
526	1305	1171
527	1306	1167
528	1307	1163
529	1308	1160
530	1309	1156
531	1310	1153
532	1311	1149
533	1312	1145
534	1313	1141
535	1314	1138
536	1316	1134
537	1317	1131
538	1318	1127
539	1319	1123
540	1320	1120
541	1321	1116
542	1322	1113
543	1323	1109
544	1324	1106
545	1326	1102
546	1327	1098
547	1328	1095
548	1329	1091
549	1330	1088
550	1331	1084
551	1332	1081
552	1333	1077
553	1334	1074
554	1335	1070
555	1336	1067
556	1337	1064
557	1339	1060
558	1340	1057
559	1341	1053
560	1342	1050
561	1343	1046
562	1344	1043
563	1345	1040
564	1346	1036
565	1347	1033
566	1348	1030
567	1349	1026
568	1350	1023
569	1351	1019
570	1353	1016
571	1354	1013
572	1355	1010
573	1356	1006
574	1357	1003
575	1359	1000
576	1360	997
577	1361	993
578	1362	990
579	1363	987
580	1364	983
581	1365	980
582	1366	977
583	1367	974
584	1368	971
585	1370	967
586	1371	964
587	1372	961
588	1373	958
589	1374	955
590	1375	951
591	1376	948
592	1377	945
593	1378	942
594	1379	939
595	1380	935
596	1381	932
597	1382	929
598	1383	926
599	1384	923
600	1386	920
601	1387	917
602	1388	913
603	1389	910
604	1390	907
605	1391	904
606	1392	901
607	1393	898
608	1394	895
609	1395	892
610	1396	889
611	1397	886
612	1398	883
613	1400	880
614	1401	877
615	1402	874
616	1403	871
617	1404	868
618	1405	865
619	1406	862
620	1407	859
621	1408	856
622	1409	853
623	1411	850
624	1412	847
625	1413	844
626	1414	841
627	1415	838
628	1416	835
629	1417	832
630	1418	829
631	1419	826
632	1420	823
633	1421	820
634	1423	818
635	1424	815
636	1425	812
637	1427	809
638	1428	807
639	1429	804
640	1430	801
641	1431	798
642	1433	795
643	1434	792
644	1435	789
645	1436	787
646	1437	784
647	1438	781
648	1439	778
649	1440	775
650	1442	773
651	1443	770
652	1444	767
653	1445	764
654	1446	761
655	1447	759
656	1448	756
657	1449	753
658	1450	750
659	1452	748
660	1453	745
661	1454	742
662	1455	739
663	1456	737
664	1457	734
665	1458	731
666	1459	728
667	1461	726
668	1462	723
669	1463	720
670	1464	717
671	1465	715
672	1466	712
673	1467	709
674	1468	707
675	1469	704
676	1470	701
677	1471	699
678	1472	696
679	1473	693
680	1475	690
681	1476	688
682	1477	685
683	1478	682
684	1479	680
685	1480	677
686	1481	674
687	1482	672
688	1483	669
689	1484	667
690	1485	664
691	1486	661
692	1487	659
693	1488	656
694	1489	653
695	1491	651
696	1492	648
697	1493	646
698	1494	643
699	1495	640
700	1496	638
701	1497	635
702	1498	633
703	1499	630
704	1500	628
705	1501	625
706	1503	622
707	1504	620
708	1505	617
709	1506	615
710	1507	612
711	1508	610
712	1509	607
713	1510	605
714	1512	602
715	1513	600
716	1515	598
717	1516	595
718	1518	593
719	1519	590
720	1520	588
721	1521	585
722	1522	583
723	1523	580
724	1525	578
725	1526	576
726	1527	573
727	1528	571
728	1529	568
729	1531	566
730	1532	563
731	1533	561
